address,block,street_name,lat_long
82 BEDOK NORTH ROAD,82,BEDOK NTH RD,"1.3295124, 103.94042606198161"
440A CLEMENTI AVENUE 3,440A,CLEMENTI AVE 3,"Error: Road retrieved. Returned address Clementi Avenue 3, Clementi, Southwest, 120443, Singapore"
197 PASIR RIS STREET 12,197,PASIR RIS ST 12,"1.36646145, 103.960795570654"
94 COMMONWEALTH DRIVE,94,C'WEALTH DR,"1.3055439999999998, 103.80071125181263"
213 BUKIT BATOK STREET 21,213,BT BATOK ST 21,"1.3467876, 103.75256232033163"
859 TAMPINES AVENUE 5,859,TAMPINES AVE 5,"1.3546685, 103.93807390735746"
367 WOODLANDS AVENUE 5,367,WOODLANDS AVE 5,"Error: Road retrieved. Returned address Woodlands Avenue 5, Woodlands, Northwest, 730900, Singapore"
217 BEDOK NORTH STREET 1,217,BEDOK NTH ST 1,"1.3267956, 103.93403040252494"
419 ANG MO KIO AVENUE 10,419,ANG MO KIO AVE 10,"1.36529435, 103.85415376916289"
536 BEDOK NORTH STREET 3,536,BEDOK NTH ST 3,"1.333298, 103.92297812233502"
542 BEDOK NORTH STREET 3,542,BEDOK NTH ST 3,"1.33059935, 103.92263093651664"
547 BEDOK NORTH STREET 3,547,BEDOK NTH ST 3,"1.33002325, 103.92500222837182"
441 FAJAR ROAD,441,FAJAR RD,"Error: Road retrieved. Returned address Fajar Road, Bukit Panjang, Northwest, 673443, Singapore"
635B SENJA ROAD,635B,SENJA RD,"1.3866706, 103.75786093357353"
706 CLEMENTI WEST STREET 2,706,CLEMENTI WEST ST 2,"1.3067003000000001, 103.7625254774558"
506 HOUGANG AVENUE 8,506,HOUGANG AVE 8,"1.37276675, 103.8876214995947"
680A JURONG WEST CENTRAL 1,680A,JURONG WEST CTRL 1,"1.3446006000000001, 103.70552972997895"
81 COMMONWEALTH CLOSE,81,C'WEALTH CL,"1.30377905, 103.80040152240437"
231 LORONG 8 TOA PAYOH,231,LOR 8 TOA PAYOH,"1.3369604, 103.8594894"
119 POTONG PASIR AVENUE 1,119,POTONG PASIR AVE 1,"1.33478895, 103.86311918431036"
146 BUKIT BATOK WEST AVENUE 6,146,BT BATOK WEST AVE 6,"1.3496792, 103.74411845615847"
139 JALAN BUKIT MERAH,139,JLN BT MERAH,"Error: Road retrieved. Returned address Jalan Bukit Merah, Radin Mas, Bukit Merah, Singapore, Central, 169545, Singapore"
76 MARINE DRIVE,76,MARINE DR,"Error: Not Singapore. Returned address 76, Marine Drive, Doughboy, Astoria, Clatsop County, Oregon, 97103, United States"
305 CANBERRA ROAD,305,CANBERRA RD,"1.4454579, 103.8218316050505"
738 WOODLANDS CIRCLE,738,WOODLANDS CIRCLE,"1.4441703000000001, 103.79761241902543"
113 BEDOK NORTH STREET 2,113,BEDOK NTH ST 2,"1.3303414, 103.93503972020366"
141 PETIR ROAD,141,PETIR RD,"Error: Road retrieved. Returned address Petir Road, Bukit Panjang, Northwest, 678272, Singapore"
618D PUNGGOL DRIVE,618D,PUNGGOL DR,"1.4019194000000001, 103.91149935361494"
183C RIVERVALE CRESCENT,183C,RIVERVALE CRES,"1.3910368499999999, 103.90855130945835"
730 WOODLANDS CIRCLE,730,WOODLANDS CIRCLE,"1.44254515, 103.7978811183647"
204 SERANGOON CENTRAL,204,SERANGOON CTRL,"1.3524681, 103.8732755"
537 BUKIT BATOK STREET 52,537,BT BATOK ST 52,"1.355115, 103.75086144385241"
