address,block,street_name,lat_long
32 MARSILING DRIVE,32,MARSILING DR,"1.44334905, 103.77294367377638"
111 LENGKONG TIGA,111,LENGKONG TIGA,"1.32412675, 103.91125753829999"
154 SERANGOON NORTH AVENUE 1,154,SERANGOON NTH AVE 1,"1.3697735, 103.8734838"
746 YISHUN STREET 72,746,YISHUN ST 72,"Error: Road retrieved. Returned address Yishun Street 72, Yishun, Northwest, 760731, Singapore"
150 BEDOK RESERVOIR ROAD,150,BEDOK RESERVOIR RD,"1.3360424, 103.91249110541088"
128 BISHAN STREET 12,128,BISHAN ST 12,"1.3460955499999998, 103.85046527739806"
295 PUNGGOL CENTRAL,295,PUNGGOL CTRL,"Error: Road retrieved. Returned address Punggol Central, Punggol, Northeast, 821256, Singapore"
352 UBI AVENUE 1,352,UBI AVE 1,"1.3252424, 103.89957904618839"
974 HOUGANG STREET 91,974,HOUGANG ST 91,"1.3776662499999999, 103.8793728501035"
408B FERNVALE ROAD,408B,FERNVALE RD,"1.38909795, 103.87598191925193"
255 SERANGOON CENTRAL DRIVE,255,SERANGOON CTRL DR,"Error: Road retrieved. Returned address Serangoon Central Drive, Serangoon, Southeast, 550261, Singapore"
913 HOUGANG STREET 91,913,HOUGANG ST 91,"Error: Road retrieved. Returned address Hougang Street 91, Hougang, Northeast, 530920, Singapore"
203 PASIR RIS STREET 21,203,PASIR RIS ST 21,"1.3670647, 103.96198706994619"
309 CANBERRA ROAD,309,CANBERRA RD,"Error: Not Singapore. Returned address Canberra Road, London Borough of Newham, London, Greater London, England, E6 2LN, United Kingdom"
334 SEMBAWANG CLOSE,334,SEMBAWANG CL,"Error: Road retrieved. Returned address Sembawang Close, Sun Trellis, Sembawang, Northwest, 750333, Singapore"
385 BUKIT BATOK WEST AVENUE 5,385,BT BATOK WEST AVE 5,"1.3634392, 103.75224972032375"
250B COMPASSVALE STREET,250B,COMPASSVALE ST,"Error: Road retrieved. Returned address Compassvale Street, Seng Kang, Northeast, 540294, Singapore"
385 TAMPINES STREET 32,385,TAMPINES ST 32,"1.35484855, 103.95872785"
435 YISHUN AVENUE 6,435,YISHUN AVE 6,"Error: Road retrieved. Returned address Yishun Avenue 6, Yishun, Northwest, 760406, Singapore"
